Name,Address Locality,Address Region,Address Country,Metro Area
FirstEnergy Stadium,Cleveland,Ohio,United States,Cleveland
Paul Brown Stadium,Cincinnati,Ohio,United States,Cincinnati
M&T Bank Stadium,Baltimore,Maryland,United States,Baltimore
Heinz Field,Pittsburgh,Pennsylvania,United States,Pittsburgh
New Era Field,Orchard Park,New York,United States,Buffalo
Hard Rock Stadium,Miami Gardens,Florida,United States,Miami
Gillette Stadium,Forxborough,Massachusetts,United States,New England
MetLife Stadium,East Rutherford,New Jersey,United States,New York
NRG Stadium,Houston,Texas,United States,Houston
Lucas Oil Stadium,Indianapolis,Indiana,United States,Indianapolis
TIAA Bank Field,Jacksonville,Florida,United States,Jacksonville
Nissan Stadium,Nashville,Tennessee,United States,Nashville
Mile High Stadium,Denver,Colorado,United States,Denver
Arrowhead Stadium,Kansas City,Missouri,United States,Kansas City
Dignity Health Sports Park,Carson,California,United States,Los Angeles
Oakland-Alameda County Coliseum,Oakland,California,United States,Oakland
Soldier Field,Chicago,Illinois,United States,Chicago
Ford Field,Detroit,Michigain,United States,Detroit
Lambeau Field,Green Bay,Wisconsin,United States,Green Bay
U.S. Bank Stadium,Minneapolis,Minnesota,United States,Minneapolis
AT&T Stadium,Dallas,Texas,United States,Dallas
Lincoln Financial Field,Philadelphia,Pennsylvania,United States,Philadelphia
FedEx Field,Landover,Maryland,United States,"Washington, D.C."
Mercedes-Benz Stadium,Atlanta,Georgia,United States,Atlanta
Bank of America Stadium,Charlotte,North Carolina,United States,Charlotte
Mercedes-Benz Superdome,New Orleans,Louisiana,United States,New Orleans
Raymond James Stadium,Tampa,Florida,United States,Tampa
University of Phoenix Stadium,Glendale,Arizona,United States,Phoenix
LA Memorial Coliseum,Los Angeles,California,United States,Los Angeles
Levi's Stadium,San Francisco,California,United States,San Francisco
CenturyLink Field,Seattle,Washington,United States,Seattle
Tottenham Hotspur Stadium,London,,United Kingdom,London
Wembley Stadium,London,,United Kingdom,London
Aztec Stadium,Mexico City,,Mexico,Mexico City
